Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,RSI-7,RSI-14,RSI,%R,%K,%D,STOCH,MACD-SL,DMI,MACD_n,SIGNAL LINE_n,MACD-SL_n,plusDI_n,minusDI_n,DMI_n,STOCH_n,%K_n,%D_n,RSI_n,%R_n,Trend GT
8/13/2002,24.32500076,23.39500046,23.45000076,23.39500046,1963200,13.51038742,buy,-0.20295851805602183,-0.10140817139254232,17.588819730538226,25.650657244438708,0.0,41.70584925965471,40.78604733582477,40.78604733582477,-57.297942977791635,42.702057022208365,52.71410995211331,-10.012052929904947,-0.10155034666347951,-8.061837513900482,0.03367497186873125,0.10719811508621446,-0.2911376038183434,0.04581776231321366,0.44442494523816767,-0.3323125309679388,-0.1600683837558473,-0.14595885955583288,0.05179175050356832,-0.3010004387794464,-0.14595885955583254,up
8/14/2002,23.89999962,22.5,23.375,23.86499977,2565400,13.89704895,buy,-0.20367410702709776,-0.10529970467871681,17.088081109000072,26.74039808090448,16.856551793313546,49.42327766607494,44.746697099628165,44.746697099628165,-45.95899827716782,54.04100172283217,50.90469817060853,3.1363035522236373,-0.09837440234838095,-9.652316971904408,0.032628688428728125,0.10026675726849965,-0.2818819601946757,0.016044227038893633,0.5057897996758502,-0.41186474167233833,0.09179433416925487,0.08082003445664321,0.014883128655349909,-0.1763177390836953,0.08082003445664365,up
8/15/2002,24.35499954,23.36499977,23.86499977,23.70000076,1779400,13.80097103,buy,-0.20490723937556155,-0.10908623038281189,17.669723401979372,26.201689075277656,16.91053333478624,46.88126417315584,43.64305977402773,43.64305977402773,-49.939673589324464,50.060326410675536,48.93446171857207,1.1258646921034696,-0.09582100899274966,-8.531965673298284,0.0308256897693302,0.09352243244560765,-0.27444061469676784,0.05062823271007599,0.4754543303529135,-0.35582728572083744,0.05328346809862827,0.001206528213510527,-0.02530601618337458,-0.21106064478023923,0.0012065282135109712,up
8/16/2002,23.74500084,23.29999924,23.70000076,23.53000069,2278000,13.70197105,buy,-0.2066457010674405,-0.11279127869439251,17.507808059631948,26.09544015044016,16.9685417361589,44.15161132961826,42.4805204037626,42.4805204037626,-54.041001722832085,45.958998277167915,50.02010880355859,-4.061110526390678,-0.093854422373048,-8.587632090808214,0.028283834384726037,0.08692323010273606,-0.2687093980565708,0.041000870350794916,0.4694713024726713,-0.35861159491302697,-0.046075389270029965,-0.08082003445664188,-0.0031608427463667432,-0.2476578083345501,-0.08082003445664154,up
8/19/2002,24.29999924,23.48500061,23.56500053,24.17000008,1556000,14.07465458,buy,-0.20469671219299457,-0.11627832291752854,18.36028655231185,25.65571524562738,16.960332366494487,55.52523834144948,48.08692430156859,48.08692430156859,-38.600728647446225,61.399271352553775,52.472865346799125,8.92640600575465,-0.08841838927546603,-7.295428693315529,0.031133507683934303,0.08071232312614152,-0.2528671854464546,0.09168858921385925,0.44470976846980426,-0.2939784829083668,0.20270636663455055,0.22798542705107527,0.046870811001859636,-0.07116616801037134,0.22798542705107572,up
8/20/2002,24.20000076,23.625,24.20000076,23.91500092,1635000,13.926169400000001,buy,-0.20392594199421055,-0.11960081303282513,18.140039760434217,25.347953764886,16.952294025364747,50.72344913360703,46.156528157869054,46.156528157869054,-44.752698049157715,55.24730195084228,54.20185719352137,1.045444757320908,-0.08432512896138541,-7.2079140044517835,0.03226047320133629,0.07479450972422153,-0.24093821095344414,0.07859288350040461,0.42737928232552935,-0.2896011947056282,0.05174298785859022,0.1049460390168453,0.08213901633887444,-0.13193574296203125,0.10494603901684574,up
8/21/2002,24.46500015,23.77000046,24.25,24.25,2194200,14.12124157,buy,-0.20121236810038567,-0.12269180171064022,18.43171890328535,24.97808400142525,16.913295905905716,56.490436972067016,49.05021383641683,49.05021383641683,-11.167510285414794,88.83248971458521,68.49302100599381,20.339468708591397,-0.07852056638974546,-6.546365098139898,0.03622806848730731,0.06928903232985939,-0.22402199416117563,0.09593590214311565,0.40655139055882317,-0.256512004071103,0.4213287470129017,0.7766497942917039,0.3736520739618485,-0.04084146197572147,0.7766497942917041,up
8/22/2002,24.38999939,24.0,24.32500076,24.35000038,2160800,14.17947292,buy,-0.19791056446862143,-0.12553828367722078,18.278864542216855,24.770940593326046,16.87511024726875,58.19435420844125,49.915509013392736,49.915509013392736,-7.783402579584435,92.21659742041555,78.7654630286144,13.451134391801148,-0.07237228079140065,-6.492076051109191,0.04105573157560638,0.06421905513034853,-0.2061040665311875,0.0868472987972686,0.39488685100925625,-0.25379658785708414,0.28937958626709603,0.8443319484083107,0.5831907107421086,-0.013601654082315395,0.8443319484083114,up
8/23/2002,24.32500076,23.73500061,24.32500076,23.80999947,1631800,13.86502075,buy,-0.19737489334023195,-0.12825458734120207,18.03795516566093,25.012371129384388,16.861058182832185,46.67798657502559,45.42877364415584,45.42877364415584,-26.057545544705057,73.94245445529494,84.99718053009863,-11.054726074803696,-0.06912030599902988,-6.974415963723459,0.041838951906795874,0.0593809434524879,-0.19662684754839765,0.07252301160973484,0.4084821474377913,-0.2779221470815888,-0.18004125964635553,0.4788490891058985,0.7103061120444734,-0.15484572059115553,0.47884908910589874,up
8/26/2002,24.04500008,23.45000076,24.0,23.95999908,1565800,13.95236969,buy,-0.19583618306733186,-0.1308080199174514,17.806078172312763,25.306580007928968,16.872232948813583,49.891558261502354,46.857718496525564,46.857718496525564,-26.724177708834073,73.27582229116592,79.81162472229221,-6.535802431126285,-0.06502816314988047,-7.500501835616205,0.04408874493403814,0.05483292765823222,-0.18470112967960328,0.0587357830162063,0.42504946730139714,-0.304235780947658,-0.0934792324804824,0.4655164458233183,0.6045304559226856,-0.10986201525622263,0.4655164458233185,up
